	Cs-137	Cs-137-Al
588.603206712	838	889
589.676049798	864	889
590.749443008	878	1007
591.823386342	937	1003
592.8978798	994	975
593.972923382	924	1102
595.048517088	1053	1047
596.124660918	1114	1202
597.201354872	1143	1195
598.27859895	1208	1240
599.356393152	1191	1271
600.434737478	1312	1335
601.513631928	1307	1460
602.593076502	1483	1572
603.6730712	1458	1583
604.753616022	1523	1585
605.834710968	1661	1677
606.916356038	1656	1717
607.998551232	1781	1858
609.08129655	1808	2014
610.164591992	1921	2063
611.248437558	1968	2070
612.332833248	2133	2210
613.417779062	2266	2234
614.503275	2220	2325
615.589321062	2490	2434
616.675917248	2468	2388
617.763063558	2538	2675
618.850759992	2626	2853
619.93900655	2718	2905
621.027803232	2847	2968
622.117150038	2978	3072
623.207046968	2945	3152
624.297494022	3095	3157
625.3884912	3205	3343
626.480038502	3239	3356
627.572135928	3378	3478
628.664783478	3450	3552
629.757981152	3607	3808
630.85172895	3695	3781
631.946026872	3767	3844
633.040874918	3921	4017
634.136273088	4019	4127
635.232221382	4060	4140
636.3287198	4136	4276
637.425768342	4289	4368
638.523367008	4350	4408
639.621515798	4375	4560
640.720214712	4504	4596
641.81946375	4577	4649
642.919262912	4601	4814
644.019612198	4706	4859
645.120511608	4766	4894
646.221961142	4837	4913
647.3239608	4883	5073
648.426510582	4991	5067
649.529610488	4966	4998
650.633260518	4981	5183
651.737460672	5030	5166
652.84221095	5107	5154
653.947511352	5169	5224
655.053361878	5118	5170
656.159762528	5060	5181
657.266713302	5140	5147
658.3742142	5206	5317
659.482265222	5262	5283
660.590866368	4993	5193
661.700017638	4959	5137
662.809719032	4937	5030
663.91997055	4934	5012
665.030772192	5014	5058
666.142123958	4906	4900
667.254025848	4943	4918
668.366477862	4890	5023
669.47948	4765	4677
670.593032262	4661	4778
671.707134648	4640	4758
672.821787158	4546	4517
673.936989792	4609	4596
675.05274255	4342	4504
676.169045432	4237	4422
677.285898438	4107	4300
678.403301568	4154	4089
679.521254822	3984	4000
680.6397582	4071	4008
681.758811702	3940	3839
682.878415328	3699	3821
683.998569078	3668	3688
